City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
250,Bambous Virieux,MU,79.21,broken clouds,-20.3428,57.7575,Casa Tia Villa
251,Hithadhoo,MV,81.03,overcast clouds,-0.6,73.0833,Scoop Guest House
253,Sao Felix Do Xingu,BR,73.78,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
255,Kudahuvadhoo,MV,82.08,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
262,Praxedis Guerrero,MX,66.56,broken clouds,31.3667,-106.0167,Congregación placitas de Otero
263,Princeton,US,66.2,clear sky,25.5384,-80.4089,American Best Inn
264,Menongue,AO,63.39,overcast clouds,-14.6585,17.691,Ritz Lauca
267,Ambilobe,MG,76.82,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
268,Pemba,MZ,79.5,few clouds,-12.974,40.5178,Guesthouse Samotina
269,Siocon,PH,82.22,scattered clouds,7.7061,122.1353,ABS Hotel
270,Dong Hoi,VN,68.43,overcast clouds,17.4833,106.6,Nam Long Hotel
271,Talara,PE,70.56,broken clouds,-4.5772,-81.2719,Hostal Oro Negro
272,Ribeira Brava,PT,66.7,overcast clouds,32.65,-17.0667,Hotel do Campo
273,Prainha,BR,78.31,overcast clouds,-1.8,-53.48,Casa Rocha
274,Mozarlandia,BR,74.35,overcast clouds,-14.7447,-50.5706,Hotel Santa Mônica
275,Vangaindrano,MG,73.17,few clouds,-23.35,47.6,Hotel Fanilo
277,Tautira,PF,87.82,overcast clouds,-17.7333,-149.15,Pension Oaoa
281,Ternate,ID,81.43,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
282,Kahului,US,76.26,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
283,Ruteng,ID,75.18,overcast clouds,-8.6136,120.4721,Hotel FX 72
284,Richards Bay,ZA,68.34,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
285,Coahuayana,MX,72.23,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
286,San Policarpo,PH,80.55,overcast clouds,12.1791,125.5072,Agapita M. Nicart
288,Alice Springs,AU,89.15,light rain,-23.7,133.8833,Desert Palms Alice Springs
290,Salinas,US,61.16,light rain,36.6777,-121.6555,Laurel Inn & Conference Center
291,Euclides Da Cunha,BR,71.13,scattered clouds,-10.5075,-39.0158,Hotel e Posto Bastos
292,Souillac,MU,79.36,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
295,Kieta,PG,85.41,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
296,Bousso,TD,74.03,overcast clouds,10.4795,16.7117,
297,Balikpapan,ID,72.59,few clouds,-1.2675,116.8289,ibis Balikpapan
299,Raga,SS,73.02,overcast clouds,8.4596,25.678,
300,Keti Bandar,PK,72.16,clear sky,24.1447,67.4497,Haji laloo memon house
301,Bengkulu,ID,77.09,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
303,Nokaneng,BW,69.66,overcast clouds,-19.6667,22.2667,
306,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
307,Sola,VU,84.87,broken clouds,-13.8833,167.55,Leumerus Bungalows
309,San Patricio,US,69.78,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
311,Porto Novo,BJ,77.38,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
313,Ewa Beach,US,80.55,clear sky,21.3156,-158.0072,Uncle Junior Robert
314,Mirandopolis,BR,81.16,few clouds,-21.1336,-51.1017,Hotel Piriquitu's
315,Muli,MV,82.06,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
317,Ugoofaaru,MV,80.8,broken clouds,5.6667,73.0,Ungoofaaru Inn
318,Pangkalanbuun,ID,81.07,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
320,Ulladulla,AU,72.77,overcast clouds,-35.35,150.4667,Sandpiper Motel
326,Ishigaki,JP,73.53,scattered clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
327,Cidreira,BR,69.26,clear sky,-30.1811,-50.2056,Hotel Castelo
329,Sirajganj,BD,64.04,clear sky,24.45,89.7167,Sourav talukder
332,Kavaratti,IN,78.84,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
334,Pacaembu,BR,81.21,scattered clouds,-21.5622,-51.2606,Pousada Eliana e Otavio Pacaembu
335,San Quintin,MX,60.75,overcast clouds,30.4833,-115.95,Don Eddie's Landing
336,Labuan,MY,82.76,few clouds,5.2767,115.2417,Tiara Labuan Hotel
340,Jacareacanga,BR,76.77,heavy intensity rain,-6.2222,-57.7528,Casa do Ian😎
341,Maceio,BR,80.04,scattered clouds,-9.6658,-35.7353,Poutur Pousada
342,Acapulco,MX,82.22,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
343,Luganville,VU,85.73,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
344,Ankazoabo,MG,69.01,overcast clouds,-22.2833,44.5167,ENCEIN BUREAU CISCO
345,Meulaboh,ID,76.73,overcast clouds,4.1363,96.1285,Kost Pria
348,Punta De Bombon,PE,68.67,overcast clouds,-17.1717,-71.7931,Hotel Bedregal
349,Calebasses,MU,78.85,overcast clouds,-20.1117,57.5539,Maritim Resort & Spa Mauritius
352,Wattegama,LK,72.52,few clouds,6.7989,81.4808,
353,Bonito,BR,78.51,moderate rain,-21.1211,-56.4819,Marruá Hotel
360,Itarema,BR,80.33,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
362,Isla Vista,US,63.12,moderate rain,34.4133,-119.861,Best Western Plus South Coast Inn
364,Maun,BW,69.76,clear sky,-19.9833,23.4167,Enviro Villa
367,Dunedin,NZ,62.8,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
369,Las Conchas,AR,67.87,overcast clouds,-25.9948,-65.8276,La Casa De La Bodega
370,Isangel,VU,80.71,broken clouds,-19.55,169.2667,Tanna Lodge
371,San Carlos Park,US,65.97,clear sky,26.4673,-81.8015,Embassy Suites by Hilton Fort Myers Estero
372,Nuzvid,IN,61.65,clear sky,16.7833,80.85,HI-TECH LODGE
375,Bima,ID,85.19,overcast clouds,-8.4667,118.7167,Lambitu Hotel
376,Goroka,PG,75.34,overcast clouds,-6.0834,145.3873,Bird of Paradise Hotel & Apartments
377,Tonantins,BR,75.63,overcast clouds,-2.8731,-67.8022,Hotel Rei Davi
384,Ormara,PK,73.44,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
389,Rocha,UY,60.31,clear sky,-34.4833,-54.3333,Hotel Arrarte
394,Padang,ID,73.45,light rain,-0.9492,100.3543,Mercure Padang
396,Gombe,NG,67.87,clear sky,10.2897,11.1673,Shinani Lodge
399,Salta,AR,71.89,broken clouds,-24.7859,-65.4117,Hotel Alejandro I
400,Sehithwa,BW,71.35,overcast clouds,-20.4667,22.7167,MONLEK GUEST HOUSE
401,Marzuq,YE,61.59,clear sky,14.4,46.4667,
402,Bundaberg,AU,84.49,few clouds,-24.85,152.35,Takalvan Motel
404,Aguas Verdes,PE,73.67,overcast clouds,-3.4814,-80.245,Sol Del Sur Hotel
405,Phalombe,MW,69.04,light rain,-15.8064,35.6507,RIVONIA
406,Moerai,PF,78.21,moderate rain,-22.4333,-151.3333,Le Manotel
408,Camapua,BR,72.16,overcast clouds,-19.5314,-54.0439,Comercial Estrela
411,Port Elizabeth,ZA,64.09,light rain,-33.918,25.5701,39 On Nile Guest House
417,Saint-Joseph,RE,77.36,overcast clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
423,Terenos,BR,80.31,light rain,-20.4422,-54.8603,Rancho Pitzer
426,Muyuka,CM,76.6,broken clouds,4.2898,9.4103,Muyuka Motor Park (El Paso)
427,Bitung,ID,77.85,broken clouds,1.4451,125.1824,K2 Lembeh
