City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
188,Taltal,CL,-25.4,-70.4833,66.31,77,100,0.74,overcast clouds
189,Saint-Philippe,RE,-21.3585,55.7679,78.35,87,100,10.45,overcast clouds
190,Ancud,CL,-41.8697,-73.8203,62.13,91,10,2.53,clear sky
191,Taoudenni,ML,22.6783,-3.9836,69.1,27,100,10.92,overcast clouds
192,Caravelas,BR,-17.7125,-39.2481,77.63,86,98,11.43,moderate rain
193,Camacha,PT,33.0833,-16.3333,62.53,94,40,10.36,scattered clouds
194,Alegrete,BR,-29.7831,-55.7919,76.14,35,88,12.64,overcast clouds
195,Sitka,US,57.0531,-135.33,33.69,29,1,0.0,clear sky
196,Qaanaaq,GL,77.484,-69.3632,25.47,60,100,12.3,overcast clouds
197,Vao,NC,-22.6667,167.4833,75.99,70,0,10.51,clear sky
198,Port Pirie,AU,-33.1833,138.0167,71.69,30,10,5.32,clear sky
199,Lagoa,PT,39.05,-27.9833,59.34,78,20,40.56,few clouds
200,Raudeberg,NO,61.9875,5.1352,36.27,96,75,6.15,broken clouds
201,Hualmay,PE,-11.0964,-77.6139,69.26,82,77,6.96,broken clouds
202,Knyaginino,RU,55.8228,45.0349,-9.89,98,100,6.4,overcast clouds
203,Parabel,RU,58.6978,81.4825,8.37,89,65,15.08,broken clouds
204,El Tocuyo,VE,9.7873,-69.7937,73.67,86,100,1.9,overcast clouds
205,Guerrero Negro,MX,27.9769,-114.0611,63.25,72,100,10.31,overcast clouds
206,Mahina,PF,-17.5065,-149.489,87.57,62,75,16.11,broken clouds
207,Sorland,NO,67.667,12.6934,39.34,73,100,32.59,light rain
208,Tadine,NC,-21.55,167.8833,80.35,77,77,10.96,light rain
209,Adrar,MR,20.5022,-10.0711,65.25,30,0,9.42,clear sky
210,Lisakovsk,KZ,52.5369,62.4936,7.02,91,100,5.48,overcast clouds
211,Coolum Beach,AU,-26.5333,153.1,86.07,74,100,1.01,overcast clouds
212,Kavieng,PG,-2.5744,150.7967,83.95,77,100,6.06,light rain
213,Olinda,BR,-8.0089,-34.8553,82.13,78,40,4.61,light rain
214,Palmer,US,42.1584,-72.3287,33.73,56,20,4.0,few clouds
215,Inhambane,MZ,-23.865,35.3833,75.49,79,100,11.52,overcast clouds
216,Oskarshamn,SE,57.2645,16.4484,29.8,89,100,5.55,overcast clouds
217,Laguna,US,38.421,-121.4238,56.44,86,90,1.99,mist
218,Koumac,NC,-20.5667,164.2833,83.55,68,27,5.37,scattered clouds
219,Skjervoy,NO,70.0311,20.9714,21.67,78,100,28.88,light snow
220,Half Moon Bay,US,37.4636,-122.4286,60.98,96,90,3.0,fog
221,Inverness,GB,57.4791,-4.224,34.21,96,90,2.3,overcast clouds
222,Misratah,LY,32.3754,15.0925,58.84,43,100,5.19,overcast clouds
223,Miyako,JP,39.6367,141.9525,37.42,46,9,7.56,clear sky
224,Hasaki,JP,35.7333,140.8333,45.28,44,0,10.98,clear sky
225,Benguela,AO,-12.5763,13.4055,73.71,77,100,4.09,overcast clouds
226,Sarkand,KZ,45.41,79.9186,38.14,72,100,6.35,overcast clouds
