City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
248,Zhicheng,CN,2021-12-14 20:57:30,30.2956,111.5047,49.55,73,88,2.19
249,Port Hardy,CA,2021-12-14 20:57:30,50.6996,-127.4199,39.2,87,40,10.36
250,Kruisfontein,ZA,2021-12-14 20:57:31,-34.0033,24.7314,60.89,87,22,6.35
251,Tateyama,JP,2021-12-14 20:57:31,34.9833,139.8667,42.82,93,20,4.61
252,Najran,SA,2021-12-14 20:57:31,17.4924,44.1277,52.45,25,0,1.7
253,Waqqas,JO,2021-12-14 20:57:32,32.5427,35.6053,64.38,84,92,6.2
254,Paamiut,GL,2021-12-14 20:57:32,61.994,-49.6678,21.69,82,100,7.0
255,Chokurdakh,RU,2021-12-14 20:57:32,70.6333,147.9167,-17.0,94,100,8.37
256,Along,IN,2021-12-14 20:57:33,28.1667,94.7667,50.49,75,7,1.54
257,Springbok,ZA,2021-12-14 20:57:33,-29.6643,17.8865,56.73,75,0,6.71
258,Cidreira,BR,2021-12-14 20:57:33,-30.1811,-50.2056,70.68,94,100,20.0
259,Tacna,PE,2021-12-14 20:57:34,-18.0056,-70.2483,71.8,53,0,12.66
260,Asau,RO,2021-12-14 20:57:34,46.4333,26.4,34.75,95,85,2.28
261,Clyde River,CA,2021-12-14 20:57:34,70.4692,-68.5914,-18.17,83,20,3.44
262,Vila Franca Do Campo,PT,2021-12-14 20:57:35,37.7167,-25.4333,58.19,77,46,4.65
263,Phan Thiet,VN,2021-12-14 20:57:35,10.9333,108.1,73.18,86,84,5.88
264,Guangzhou,CN,2021-12-14 20:53:49,23.1167,113.25,69.01,52,100,3.53
265,San Jeronimo,PE,2021-12-14 20:57:36,-11.9472,-75.2829,62.85,51,60,4.5
266,Ardakan,IR,2021-12-14 20:57:36,32.31,54.0175,44.98,40,59,4.52
267,Beringen,BE,2021-12-14 20:57:36,51.0507,5.2216,48.76,88,90,5.75
268,Olafsvik,IS,2021-12-14 20:57:37,64.8945,-23.7142,40.48,77,100,20.2
269,Fairbanks,US,2021-12-14 20:57:37,64.8378,-147.7164,-29.4,65,20,0.0
270,Port Hedland,AU,2021-12-14 20:57:37,-20.3167,118.5667,78.85,83,6,9.22
271,Temuco,CL,2021-12-14 20:54:45,-38.7333,-72.6,69.57,37,2,12.24
272,Hirara,JP,2021-12-14 20:57:38,24.8,125.2833,71.15,67,85,15.52
273,Mezen,RU,2021-12-14 20:57:38,65.8522,44.24,13.51,98,97,5.39
274,Ketchikan,US,2021-12-14 20:57:38,55.3422,-131.6461,28.18,66,100,3.8
275,Kwinana,AU,2021-12-14 20:57:39,-32.25,115.7667,59.23,69,0,10.67
276,Moose Factory,CA,2021-12-14 20:57:39,51.2585,-80.6094,14.0,85,90,4.61
277,Tuatapere,NZ,2021-12-14 20:57:40,-46.1333,167.6833,59.83,71,99,4.05
278,Yerbogachen,RU,2021-12-14 20:57:40,61.2767,108.0108,-34.49,97,79,5.55
279,Kirakira,SB,2021-12-14 20:57:40,-10.4544,161.9205,82.38,83,100,8.37
280,Rawlins,US,2021-12-14 20:57:41,41.7911,-107.2387,48.42,67,100,27.85
281,Ereymentau,KZ,2021-12-14 20:58:41,51.6199,73.1033,7.18,84,100,14.34
